iter	Passed	Remaining
0	134	268950
1	176	176090
2	218	145730
3	261	130456
4	298	119171
5	336	111822
6	374	106599
7	409	101868
8	447	98896
9	487	97070
10	528	95527
11	564	93582
12	601	91876
13	637	90386
14	674	89225
15	712	88343
16	749	87420
17	786	86624
18	823	85869
19	861	85299
20	898	84644
21	937	84293
22	976	83931
23	1014	83502
24	1052	83156
25	1091	82840
26	1128	82449
27	1169	82387
28	1210	82294
29	1249	82033
30	1287	81763
31	1336	82175
32	1374	81938
33	1412	81672
34	1451	81468
35	1491	81387
36	1531	81268
37	1574	81317
38	1612	81063
39	1662	81453
40	1708	81617
41	1751	81667
42	1794	81688
43	1841	81857
44	1883	81834
45	1924	81734
46	1977	82152
47	2015	81965
48	2054	81783
49	2093	81644
50	2132	81509
51	2174	81473
52	2214	81362
53	2255	81295
54	2296	81206
55	2335	81082
56	2378	81072
57	2423	81152
58	2466	81131
59	2509	81155
60	2552	81148
61	2594	81088
62	2635	81027
63	2682	81158
64	2720	80993
65	2762	80952
66	2806	80982
67	2849	80958
68	2892	80942
69	2933	80887
70	2973	80774
71	3012	80681
72	3056	80688
73	3098	80646
74	3138	80545
75	3183	80589
76	3223	80503
77	3264	80442
78	3312	80539
79	3353	80481
80	3400	80572
81	3443	80541
82	3483	80455
83	3526	80435
84	3567	80378
85	3607	80298
86	3647	80210
87	3693	80252
88	3736	80240
89	3783	80300
90	3827	80303
91	3869	80240
92	3909	80167
93	3952	80145
94	4015	80526
95	4062	80582
96	4105	80543
97	4145	80457
98	4186	80386
99	4227	80320
100	4270	80287
101	4319	80373
102	4361	80332
103	4400	80224
104	4445	80224
105	4489	80213
106	4531	80176
107	4573	80125
108	4612	80027
109	4652	79934
110	4694	79888
111	4736	79843
112	4776	79762
113	4817	79693
114	4863	79715
115	4912	79787
116	4952	79712
117	4997	79711
118	5038	79637
119	5084	79653
120	5127	79630
121	5172	79629
122	5214	79578
123	5255	79504
124	5301	79515
125	5360	79722
126	5406	79741
127	5456	79801
128	5500	79781
129	5544	79760
130	5586	79701
131	5624	79601
132	5663	79495
133	5707	79477
134	5750	79444
135	5791	79372
136	5832	79316
137	5879	79327
138	5924	79321
139	5970	79320
140	6014	79292
141	6062	79326
142	6114	79405
143	6160	79398
144	6203	79365
145	6247	79330
146	6287	79254
147	6332	79243
148	6389	79376
149	6431	79319
150	6472	79260
151	6517	79243
152	6562	79225
153	6605	79176
154	6647	79121
155	6687	79044
156	6724	78936
157	6764	78860
158	6812	78875
159	6852	78800
160	6890	78700
161	6929	78624
162	6969	78550
163	7012	78510
164	7058	78502
165	7096	78405
166	7134	78306
167	7182	78323
168	7221	78240
169	7259	78150
170	7298	78063
171	7336	77972
172	7379	77931
173	7416	77835
174	7454	77741
175	7492	77646
176	7529	77548
177	7568	77468
178	7605	77373
179	7646	77315
180	7684	77228
181	7721	77127
182	7758	77032
183	7796	76944
184	7837	76888
185	7877	76829
186	7922	76806
187	7959	76712
188	7999	76649
189	8042	76614
190	8083	76557
191	8120	76468
192	8159	76394
193	8201	76350
194	8245	76325
195	8293	76333
196	8350	76425
197	8408	76529
198	8455	76526
199	8494	76449
200	8531	76357
201	8571	76294
202	8610	76217
203	8647	76129
204	8684	76038
205	8722	75965
206	8762	75902
207	8802	75833
208	8839	75749
209	8884	75726
210	8927	75689
211	8967	75632
212	9010	75597
213	9047	75508
214	9084	75423
215	9123	75354
216	9165	75309
217	9204	75238
218	9242	75167
219	9281	75099
220	9326	75077
221	9372	75067
222	9411	75000
223	9455	74965
224	9495	74910
225	9538	74873
226	9580	74831
227	9621	74776
228	9661	74720
229	9705	74689
230	9746	74636
231	9786	74576
232	9827	74530
233	9866	74464
234	9904	74387
235	9942	74313
236	9978	74231
237	10015	74150
238	10052	74071
239	10089	73989
240	10126	73911
241	10164	73840
242	10204	73781
243	10241	73707
244	10278	73626
245	10315	73552
246	10396	73787
247	10461	73902
248	10522	73994
249	10575	74026
250	10625	74039
251	10679	74075
252	10730	74094
253	10777	74081
254	10826	74087
255	10871	74060
256	10912	74010
257	10952	73952
258	10992	73891
259	11033	73841
260	11073	73783
261	11114	73726
262	11153	73661
263	11195	73618
264	11235	73557
265	11274	73494
266	11317	73460
267	11361	73424
268	11402	73373
269	11444	73328
270	11483	73268
271	11523	73205
272	11571	73199
